RESOURCE-340 【首页】首页加载时间过长
RESOURCE-339 【上传的资源】上传的资源界面，点击编辑，页面跳转到资源详情页，加载时间过长
RESOURCE-338 【上传的资源】上传资源过程中，上传百分比显示小数位过多
RESOURCE-337 【上传的资源】上传的资源中，简介输入一行时，问文字字数限制提示有重合
RESOURCE-336 【上传的资源】上传一个MP3格式的文件，上传成功后无法播放，无法下载
RESOURCE-335 【上传的资源】共享资源改为私有资源后，首页也会显示，且再改回共享资源后，首页会出现两个相同的资源
RESOURCE-333 【上传的资源】上传一个300MB的视频，到100%后，页面崩溃
RESOURCE-324 【上传的资源】上传过程中，编辑文件名，上传成功后不生效
RESOURCE-323 【上传的资源】私有资源列表，点击编辑后返回，返回到共享资源列表
RESOURCE-320 【首页】热点下载资源界面，有一些文件只显示文件名，无图标
RESOURCE-312 【上传的资源】同时上传多个资源，只能上传成功最小的一个
RESOURCE-311 【上传的资源】上传资源过程中，上传百分比显示小数位过多
